title,city,district,description
WEB前端开发工程师,武汉,洪山,"【工作内容】
岗位职责1、负责Web前端开发编写高质量、可维护的代码并撰写相关技术文档2、负责线上系统的维护和管理保障系统稳定运行3、不断优化现有产品提高系统速度、稳定性和可扩展性不断提升用户体验
【任职要求】
任职要求1.全日制本科学历及以上计算机及相关专业35年工作经验2.具备扎实的计算机科学基础知识浏览器、数据结构、网络3.熟悉JavaScript、HTML、CSS、Typescript等技术熟悉W3C标准4.对主流前端MVVM框架Vue3有深入应用并理解其设计原理能独立封装公共组件5.具备丰富的数据可视化开发经验熟悉包括ECharts、D3.js等主流图表库的应用能独立开发并高度定制复杂图表如甘特图及高性能表格组件6.掌握webpack、vite等常用的项目打包工具对前端工程化有一定的见解熟练掌握项目打包优化、页面性能优化的手段7.了解容器化Docker及云原生部署k8s具备前端CI/CD实践经验8.具备良好的沟通能力和团队协作能力
"
开发工程师（前端）五险一金,天津,西青,"【工作内容】
1.软件研发部 开发工程师前端岗位职责(1)负责按照需求文档以及设计文档实现高质量的前端界面确保优秀的用户体验。(2)配合后端开发人员完成数据的交互和业务闭环。(3)探索并应用 AI 技术以增强产品的功能性和用户体验。(4)按照需求设计文档编写前端详细设计文档。(5)完成领导交代的其他任务
【任职要求】
任职要求(1)大学本科及以上学历学士及以上学位学位证、毕业证在学信网可查如果是民办本科也需要在学信网可查不限专业计算机等专业优先。(2)年龄40周岁以下。(3)具备3年及以上Web开发经验精通HTML、HTML5、CSS、JavaScript开发。(4)熟练掌握前端开发框架Vue3Vue2AngularJSReactJS至少掌握一种熟练掌握微信小程序、H5等移动端开发框架或者平台具备良好的沟通能力具备团队协作精神能够承担一定的压力
"
数据平台前端开发工程师,上海,长宁,"【工作内容】
一、岗位职责? 负责Web前端页面开发、优化与维护保障多浏览器、多设备兼容性和流畅性? 基于React/Next.js进行组件化开发配合产设团队还原设计、提升用户体验? 使用Tailwind CSS开发样式规范命名保证代码可维护性? 用JavaScript/TypeScript实现交互逻辑处理业务需求并解决技术问题? 配合后端联调接口参与前端技术方案落地优化前端性能? 关注前端技术动态应用新技术提升开发效率和产品质量
【任职要求】
二、任职要求1. 工作经验510年前端开发经验有完整Web项目落地经验能独立负责前端模块开发维护。2. 核心技术要求必备? 精通JavaScriptES6+熟练掌握TypeScript? 熟练使用Tailwind CSS熟悉其配置及自定义工具类高效实现页面样式? 熟练掌握React理解组件化、虚拟DOM、Hooks/生命周期能独立开发可复用组件? 熟悉Next.js了解SSR/SSG概念能完成项目开发、路由及接口请求? 熟悉Webpack、Vite等工程化工具了解npm/yarn使用? 了解前端性能优化方法能解决常见性能问题? 具备良好代码规范熟悉Git版本控制。3. 加分项? 了解Node.js基础能完成简单后端接口开发及部署? 熟练使用Nest.js有相关项目开发经验可配合后端完成全栈开发? 熟悉Jest等前端测试工具能编写单元及集成测试? 具备良好沟通、问题解决及团队协作能力积极主动、乐于学习
"
前端开发工程师（机器人与智能硬件方向）,重庆,沙坪坝,"【工作内容】
一.岗位定位该岗位作为具身智能机器人与智能硬件产品“用户交互入口与应用界面”的建设者主要负责机器人及智能硬件配套App、Web端、可视化界面和交互系统的开发工作承担设备连接、状态监控、参数配置、任务管理、数据展示和用户交互等功能建设。岗位工作将直接影响产品的易用性、交互体验、数据可读性和场景落地能力是连接机器人本体、后端平台、算法能力与终端用户的重要桥梁。二.核心岗位职责1前端应用开发负责机器人及智能硬件配套App、Web管理端、小程序或可视化系统的前端开发实现设备管理、状态展示、任务操作、参数配置、日志查看和用户交互等功能模块2设备交互开发负责前端系统与机器人设备、智能硬件终端之间的数据交互功能开发支持蓝牙、WiFi、MQTT、HTTP、WebSocket等通信方式下的状态获取、指令下发与实时数据显示3业务界面开发负责机器人运行监控界面、任务执行界面、设备运维界面、训练/作业数据界面及用户管理界面的设计与实现提升系统操作效率与信息表达清晰度4可视化展示开发负责传感器数据、运行状态、轨迹信息、电池信息、健康状态、作业记录及模型结果等内容的图表化、面板化和交互式展示5接口联调与系统协同与后端、嵌入式、算法、测试和产品团队协作完成接口定义、协议联调、业务逻辑对接和问题定位保障前端功能与机器人系统稳定联动三
【任职要求】
任职资格1学历要求计算机科学与技术、软件工程、电子信息、自动化、机器人工程等相关专业本科及以上学历毕业2工作经验要求3年以上前端开发经验有机器人、智能硬件、物联网、工业互联网、可穿戴设备、运动健康类产品开发经验者优先3知识技能要求1熟悉JavaScript/TypeScript具备扎实的前端开发基础和良好的工程化开发能力熟悉React、Vue等主流前端框架或熟悉Flutter、UniApp、React Native等跨平台开发框架中的至少一种3熟悉移动端与Web端应用开发具备复杂业务页面、设备控制页面和数据可视化页面开发经验4熟悉HTTP、WebSocket、MQTT等常见通信方式理解前后端交互流程和接口联调方法5有机器人控制界面、设备监控平台、工业设备配套App、运动健康类App开发经验者优先4其它要求1具备良好的产品意识和用户体验意识能够从业务流程和用户使用场景出发优化交互设计2具备较强的沟通协作能力能够高效联动后端、算法、嵌入式和测试团队推进项目落地3有设备接入、蓝牙控制、远程监控、任务调度、图形化展示相关经验者优先
"
前端开发实习生,广州,番禺,"【工作内容】
工作描述我们正在寻找一个充满激情和动力的前端开发实习生加入我们的团队。作为实习生你将与我们的开发团队密切合作使用Vue.js和Node.js构建和增强web应用程序。这是一个在快节奏的现实环境中获得实践经验的机会。主要职责1、与设计人员和后端开发人员合作使用Vue.js实现和改进用户界面。2、开发测试和维护前端组件和功能。3、将前端组件与基于Node.js构建的后端服务集成。4、参与代码评审促进团队知识共享。5、排除和调试问题以确保性能和用户体验。6、了解前端开发的趋势和实践。需求目前正在攻读或最近完成了计算机科学信息技术或相关领域的学位。1、基本了解JavaScript HTML5和CSS3。2、熟悉Vue.js或其他现代JavaScript框架。3、接触Node.js和RESTful api。4、熟悉版本控制系统Git优先。5、渴望学习和适应新技术。6、具有Vue CLI Vue ex或Vue Router的经验。7、熟悉UI/UX设计原则。8、接触敏捷开发方法。9、有使用Webpack或Vite等构建工具的经验。________________________________________我们提供什么1、来自经验丰富的开发人员的指导。2、参与实际项目的机会。3、实习证明和推荐信基于表现。4、成功完成后有可能获得全职工作机会。截止日期2027年03月18日招聘人数1人
【任职要求】

"
前端工程师,深圳,福田,"【工作内容】
岗位职责1、负责暗壳 AI Web 应用、移动端 H5、小程序等前端平台的界面开发和功能实现;2、基于 HTML5、CSS3 标准设计、开发和维护可复用、可维护的前端 UI 组件库;3、理解产品需求和设计稿与团队成员协作参与讨论并提供合理的前端技术解决方案并负责具体实现。4、完成上级领导交代的其他事务。Job Responsibilities1.Be responsible for the interface development and function implementation of Ark.art AI's frontend platforms, including Web applications, mobile H5, and miniprograms.2.Design, develop and maintain reusable, maintainable frontend UI component libraries based on HTML5 and CSS3 standards.3.Understand product requirements and design drafts, collaborate with team members, participate in discussions to provide reasonable frontend technical solutions, and be responsible for specific implementation.4.Complete additional tasks assigned by supervisors promptly and efficiently
【任职要求】
任职要求1、 全日制本科及以上学历计算机科学、软件工程或相关专业优先2、具备扎实的计算机科学基础知识数据结构、算法、网络等3、 精通 Vue 生态体系含状态管理/服务端渲染等熟悉至少一种流行的 UI 框架4、 熟悉前端模块化、工程化概念熟练使用构建工具5、熟悉不同浏览器和设备的特性具备解决前端兼容性问题的能力熟悉响应式设计原理和实践。6、熟悉 Web 开发的基本流程具备良好的沟通能力、团队协作精神7、能够阅读英文技术文档可以用英文进行基本的书面沟通。其它1、有过 AIGC 应用开发经验者优先2、AI 编程的深度实践者优先3、有开源项目的优先。Job Requirements1.Fulltime bachelor's degree majoring in Computer Science, Software Engineering or related fields is preferred.2.Solid foundation in computer science (data structures, algorithms, networks, etc
"
电商前端开发工程师（Next.js / React）,北京,朝阳,"【工作内容】
岗位职责负责公司电商独立站全流程前端研发工作依托Next.js+React技术栈搭建高性能、高体验的电商前端体系保障页面交互流畅、功能稳定助力产品用户体验与业务转化提升具体职责如下1.核心负责电商独立站前端架构搭建与迭代基于Next.js + React技术栈完成全站前端开发保障项目架构合理性、可扩展性与可维护性适配电商业务快速迭代需求。2.主导电商核心业务页面开发与优化覆盖商品列表页、商品详情页、购物车模块、Checkout结算页、用户中心等全链路核心页面实现功能闭环与优质交互体验。3.高效对接后端接口完成REST API接口联调、数据渲染与异常处理保障前后端数据交互顺畅。4.深耕前端性能优化依托Next.js SSR/SSG特性优化页面加载速度聚焦Core Web Vitals核心指标打磨体验针对性开展SEO优化工作提升站点搜索引擎曝光与排名。5.协同后端开发、UI/UX设计师、产品经理开展工作精准还原设计稿、落地产品需求同步参与需求评审、技术方案讨论保障产品研发进度与质量。6.参与前端代码规范制定、代码评审与技术沉淀推动前端工程化落地提升团队研发效率与代码质量
【任职要求】
任职要求1.学历与经验本科及以上学历拥有3年及以上前端开发实战经验具备完整电商前端项目研发经验者优先。2.核心技术栈熟练掌握JavaScript、TypeScript语言精通React框架及其生态体系深度掌握Next.js框架能熟练运用SSR/SSG/ISR等渲染方案解决实际业务问题。3.前端基础与工程化精通HTML5、CSS3熟练掌握响应式布局、弹性布局、网格布局等技术具备扎实的浏览器兼容处理能力熟悉前端工程化体系掌握Webpack、Vite等构建工具能独立完成项目工程化配置与优化。4.接口与协作熟悉REST API接口规范具备成熟的前后端联调经验具备良好的沟通协作能力、问题排查能力能高效配合跨团队完成研发任务。5.综合素养具备良好的代码规范意识与工程思维责任心强、抗压能力佳热爱前端技术关注行业前沿技术动态具备主动学习与技术攻坚能力。加分项?拥有成熟电商网站、独立站前端开发经验熟悉电商业务逻辑与用户购物全流程者优先?熟练使用Storefront UI等电商前端组件库能快速搭建标准化电商页面?具备Stripe、PayPal等海外主流支付渠道接入与调试经验
"
高级前端开发工程师,南京,浦口,"【工作内容】
岗位职责负责公司产品前端代码开发、页面重构以及交互设计逻辑处理使用HTML5、CSS3和JavaScript实现网页界面。基于Vue技术栈Vue2/Vue3、Vue Router、Vuex/Pinia独立完成功能模块的设计、开发和优化。参与需求分析与产品经理、后端开发团队紧密配合确保项目高效落地。负责公司现有项目和新项目的前端修改调试和开发工作。利用Axios、Ajax等与后台进行数据通信能对Axios进行二次封装实现响应拦截、错误处理等功能。配合UI设计师实现预期的视觉交互效果确保设计稿的精准还原。解决项目开发过程中遇到的技术问题和业务问题。确保Web应用程序在不同浏览器和版本中都能正常工作解决多端兼容与适配问题
【任职要求】
任职要求本科及以上学历计算机、软件工程等相关专业。具备13年前端开发经验有企业级信息系统如后台管理系统、B端应用开发经验者。熟练掌握 Vue 2 和 Vue 3 框架理解其核心原理如响应式系统、虚拟 DOM能独立完成复杂组件开发。精通 Electron 框架有跨平台桌面应用开发经验熟悉主进程与渲染进程通信机制。熟练掌握 UniApp 框架有小程序、H5 等多端开发经验能独立完成跨端应用的开发与适配。熟练使用 MQTT 协议实现设备间通信了解 Socket.io 或 WebSocket 等实时通信技术。扎实的前端基础HTML5、CSS3、JavaScript/TypeScript熟悉 ES6+ 新特性。掌握前端工程化工具Webpack/Vite能独立搭建项目脚手架。熟悉 Git 版本控制具备良好的代码规范与团队协作能力
"
前端开发-WYY01,广州,番禺,"【工作内容】
岗位职责1.界面开发与实现基于Vue3/React/TypeScript技术栈高效实现UI设计稿开发高可用、高性能的前端页面与功能模块。2.兼容性与体验保障页面在多浏览器、多终端的兼容性优化前端加载速度与渲染性能提供优秀的用户交互体验。3.工程化建设参与前端工程化建设编写自动化测试用例使用Docker等工具进行环境配置推动代码规范化与CI/CD流程落地。4.技术创新应用探索并引入AI辅助开发工具提升开发效率解决复杂的前端逻辑与数据可视化问题。职业背景1.本科及以上学历计算机相关专业3年以上前端开发经验。2.精通Vue/React生态及TypeScript熟悉Webpack/Vite构建工具理解RESTfulAPI及前端安全机制。3.具备良好的代码规范与性能优化意识有大型应用或高并发系统前端开发经验
【任职要求】

"
前端开发工程师-汉口,武汉,江汉,"【工作内容】
1、4年以上前端开发经验良好的编码习惯较高的技术钻研能力、技术难点攻关能力、分析问题解决问题的能力;2、基本功扎实精通HTML5jQueryCSS3ES6/7等前端开发技术熟悉ECMAScript语言规范;3、熟练掌握前端框架Vue2+Vue Router+Vuex+Axios;4、有丰富的前端工程方面的经验研究过前端模块化、工程化熟练使用前端构建工具;5、注重代码质量设计经验丰富能够产出高质量的设计和代码;6、自驱动、自学习能力强对前端前沿领域有比较高的热情和关注度执行力好良好的沟通协作能力注重效率能够深刻影响其他人;7、本科(含)以上学历。8、有大型的APP开发经验以及银行项目工作经验者优先
【任职要求】

"
