title,city,district,description
前端开发工程师,济南,历城,"【工作内容】
技术要求:熟练掌握js、vue.js熟悉react、jquery了解主流低代码前端相关技术优先【岗位职责】1、根据产品需求和设计完成兼容性良好的前端页面开发包括PC端、移动端的WEB页面开发2、负责大数据可视化平台及其他大数据软件系统的界?设计、前端后端系统功能开发联调、系统测试及维护等3、配合后端开发?程师完成项?开发完成代码的调试、bug修复、浏览器兼容性调优4、前端基础框架和组件的开发和维护5、负责组件库的封装和搭建;6、积极配合部门其他工作任务安排
【任职要求】
【任职资格】1、35 年前端开发经验JavaScript / ES6+ 功底扎实熟悉 W3C 标准与浏览器原理2、精通 Vue2 全家桶vuerouter、vuex、axios以及Element UI3、了解或使用国 uniapp、uView UI 组件库优先4、熟悉G6者优先5、了解 RESTful、SSE能与后端?效联调
"
前端开发工程师（可接受26届）,深圳,宝安,"【工作内容】

【任职要求】
任职要求1. 24/25/26届毕业生211及以上学历计算机相关专业优先实际能力优秀者可放宽学历限制。2. 熟悉 HTML、CSS、JavaScript 基础知识理解语义化、Flexbox、基本布局等前端基础。3. 了解至少一个常用前端框架例如 React / Vue优先VUE并能进行基础组件开发。4. 对 Webpack、Vite 等构建工具有基础了解会使用 npm/yarn/pnpm。5. 具备基本的前后端协作经验能使用 Postman/Apifox 调试接口。6. 有良好的代码习惯愿意学习并遵循团队规范。7. 对新技术保持好奇心具备良好的沟通能力与团队协作意识。加分项可选 有个人项目、GitHub 作品或线上作品链接。 了解 TypeScript 并具备基础使用能力。 了解简单的性能优化思路与调试技巧。 有移动端适配经验如 rem、vw/vh、媒体查询。 对 UI/UX 有一定审美或熟悉常用设计规范。我们能提供 完善的导师制快速提升职业技能。 接触完整业务链路的机会能独立负责小型项目。 轻松开放的团队氛围持续学习的文化环境
"
前端高级开发工程师,重庆,渝北,"【工作内容】
1、工作经验:具有6年以上的前端应用项目开发经历(以个人工作简历中的项目经历为准);2、项目经验:参与过5个以上前端应用项目的开发(以个人工作简历中的项目经历为准);有电商平台架构和营销系统开发经验者优先3、专业技能:3.1、具有良好的Javascript编写能力精通JavaScript框架JQeury或Zepto;3.2、精通CSS3熟悉对各个移动浏览器对H5样式的差异点以及改善方法;3.3、熟悉ES6语法、LESS/SASS相关框架、能运用打包工具优化现有流程,如webpack、rollup,vite等;3.4、精通基于H5的SPA单页面开发模式精通页面组件化开发理念熟悉VUE相关技术和react相关生态系统(react、redux、reduxsaga、immutable等)并可进行基于此进行项目开发;3.5、熟悉cordova架构、微信开发(含微信小程序)、wap手机页面开发;3.6、基于公有云(华为云、阿里云、腾讯云)现有服务能力进行程序开发。3.7、熟练并掌握至少一种MVM框架及技术链不限于react、vue、angular, vite, vuex, zustand, Pinia, Umi, Ant Design;3.8、熟悉微前端、页面组件化、模块化开发并有实践经验熟悉常用的性能优化策略并有实践经验;3.9、熟悉http及相关网络协议、熟悉跨终端、跨浏览器的开发模式;4、综合素质:遵守行业通用代码规范具备一定代码洁癖
【任职要求】

"
前端开发工程师,上海,青浦,"【工作内容】
岗位职责1.负责前端系统迭代优化、前端工程化、日常功能开发和代码review 2.积极参与业务讨论通过技术手段提升研发效能和研发质量 3.深入参与团队业务组件库建设持续优化前端体验和性能 4.参与前沿技术研究承担重点、难点技术攻竖
【任职要求】
任职要求1.本科及以上学历2.具备4年及以上前端开发?作经验3.熟练使?前端开发框架 Vue2、Vue3、微信?程序、并掌握其原理4.熟练各种调试、抓包能快速定位、分析、解决问题5.对前端性能优化有较深入理解6.具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能?
"
游戏前端UI开发工程师（Lua/UE）,上海,黄浦,"【工作内容】
1、在游戏公司使用lua语言开发经验1年以上2、游戏公司UE4或UE5项目的前端UI开发经验1年以上3、最近2年游戏研发公司的工作经历期望入职时间尽快
【任职要求】

"
前端开发岗,珠海,,"【工作内容】
岗位职责负责前端需求分析、系统开发与技术优化对接业务部门保障产品质量与用户体验支撑企业信息化系统高效运行
【任职要求】
岗位要求1.具备5年以上前端开发经验2.具备商业地产购物中心项目开发经验者优先
"
前端开发工程师 (MJ000153),深圳,宝安,"【工作内容】
岗位职责负责具身智能数据采集管理系统的前端架构设计与核心模块开发设计和实现复杂的数据可视化界面包括图表展示、实时监控、数据仪表盘等负责多端应用开发小程序、Web后台、移动APP确保一致的用户体验优化前端应用性能提升用户体验和页面响应速度与后端团队协作参与API接口设计确保前后端高效集成建立前端工程化体系推动代码规范、构建部署、监控等流程优化参与技术方案评审指导团队成员提升整体开发效率和质量
【任职要求】
任职要求基础要求3年以上前端开发经验具备小程序、Web后台、移动APP多端开发经验精通现代前端开发技术熟练掌握至少一种主流前端框架React/Vue/Angular具备复杂系统架构设计能力能够根据业务需求选择合适的技术方案精通微信小程序开发熟悉原生框架、云开发、自定义组件、性能优化熟练掌握React技术栈或Vue技术栈有大型后台管理系统开发经验掌握跨平台移动开发技术熟悉React Native或Flutter框架加分项具备小程序、Web后台、移动APP多端完整项目经验者优先具备全栈开发能力熟悉Node.js、Java、Pythongo等后端技术者优先有智能驾驶、机器人或数据采集领域项目经验者优先有数据闭环、数据处理平台开发经验者优先对硬件交互、物联网技术有深入了解有Web蓝牙、Web Serial API等项目经验者优先
"
【驻场兼职】兼职前端开发工程师,上海,虹口,"【工作内容】
【需驻场周期3个月左右地点虹口足球场月结】工作职责:1、负责在线教育项目开发及维护工作2、与后端开发工程师合作持续迭代产品功能和提升用户体验3、提供前端技术解决方案
【任职要求】
任职资格1、本科及以上学历四年以上前端开发经验2、计算机基础扎实数据结构等基础知识掌握牢固代码习惯良好3、熟练掌握React技术框架能够熟练使用React技术框架进行开发4、有较丰富的跨端开发经验5、重视团队协作善于沟通对所负责开发的产品有强烈的主人翁意识6、有开源项目、大型React项目开发经验优先
"
WEB前端开发实习生,长沙,天心,"【工作内容】
岗位职责参与公司Web前端产品的开发与维护工作
【任职要求】
招聘要求1.本科或研究生应届生计算机、软件工程等相关专业2.了解HTML5、CSS3、JavaScript等前端基础知识对Vue/React等至少一种前端框架有初步了解或项目实践3.具备良好的学习能力和团队沟通意识4.每周可实习4天以上、连续实习2个月以上者优先5.实习期表现优秀者直接校招留用。截止日期2026年02月28日招聘人数2人
"
前端开发工程师,深圳,宝安,"【工作内容】
工作职责1. 负责民用级激光雕刻 / 切割 / 焊接设备前端交互层全生命周期开发搭建 Web 端操作平台、设备控制可视化界面加工路径预览、实时参数调节面板、加工进度可视化、故障告警弹窗2. 适配民用多终端使用场景PC 端 / 平板端响应式设计优化非专业用户交互体验拖拽式图形编辑、参数预设模板、图文引导流程、一键操作按钮3. 对接后端 API 与设备通信协议WebSocket/TCP/IP实现前端与云端 / 设备的数据同步加工任务上传、设备状态实时刷新、工艺库下载 解决量产中前端兼容性问题浏览器适配、低网速下数据加载、移动端操作卡顿保障界面响应速度输出前端开发规范
【任职要求】
任职要求1. 本科及以上学历计算机 / 软件工程 / 前端开发相关专业3 年以上民用软件 / 消费级工业软件前端开发经验2. 精通前端技术栈Vue3/React/Angular、HTML5/CSS3、JavaScript/TypeScript熟悉前端工程化工具Webpack/Vite与组件库Element Plus/Ant Design3. 具备可视化开发能力熟练使用 ECharts/Canvas 实现加工路径、功率曲线等数据可视化掌握 WebSocket 实时通信技术4. 了解民用激光设备基础操作逻辑如加工参数调节、任务管理流程能设计适配非专业用户的极简交互有消费级工业设备前端开发经验者优先5. 具备跨端适配能力能兼容主流浏览器Chrome/Edge/ Safari与平板设备解决不同分辨率下的界面适配问题
"
WEB前端工程师,广州,黄埔,"【工作内容】
工作内容1、负责教育类 web 项目前端开发和优化工作包括 PC 客户端、移动设备 APP 端、浏览器端2、负责与设计师和后台沟通并完善需求3、负责 PC、移动端组件库设计和开发支持前端工程化建设包括流程、规范、工具的建设等
【任职要求】
岗位要求1、1 年及以上前端工作经验本科及以上学历优先2、良好的设计和编码习惯具备良好的计算机基础3、深入理解和掌握至少一个前端框架熟练掌握至少一个 Webpack 等构建工具4、有前端工程化实践经验具备良好的工程化思想动手能力强5、掌握一门服务端语言对服务端的工作原理有基本的认知6、具备良好的沟通能力善于分享热衷于挑战新框架、新技术;有以下经验者优先有web性能优化相关经验掌握 NodeJS有 NodeJS 项目开发经验者优先有中大型桌面应用或移动端 APP 内嵌页开发、调试经验者优先有 IM即时通讯相关项目经验者优先有较好数学基础例如 线性代数 等有 electron 项目开发经验者优先职级要求T12及以上
"
前端开发及产品,青岛,,"【工作内容】
1、梳理集团功能需求、设计产品原型、开发前端代码配合完成后端数据的接口2、解决不同的浏览器及不同版本的兼容性问题3、优化载入速度及优先级异步加载的实现4、根据业务需求编写前台界面展示5、编写产品文档
【任职要求】
岗位要求1、熟练掌握HTML5、CSS3、JavaScript等Web前端开发技术2、熟练掌握Web2.0标准熟悉DOM、XML、JSON等相关技术3、熟练运用Jqurey bootstrapVUE等至少一种前端开发框架4、热爱开发有较强学习能力工作积极主动、认真负责5、具备良好的沟通能力和团队协作精神。 6、全日制本科及以上学历计算机软件、信息技术相关专业(两年以上前端开发经验)
"
WEB前端开发工程师,广州,天河,"【工作内容】
兼职 周期1个月需到公司坐班3月份能入职公司给购买社保岗位职责1、Web前端功能设计、开发和实现与后台工程师协作完成数据交互、动态展现2、熟悉编写可复用的用户界面组件3、视觉和易用性角度为网站设计提供改进建议为产品的页面提供持续优化方案4、能够独立完成前端框架的封装和组件的编写
【任职要求】
任职要求1、专科及以上学历2年以上前端开发工作经验有微信体系开发经验、金融、知识产权行业背景者优先2、精通HTML5/ES6/CSS3等前端技术 熟悉npm熟练使用常见JS框架如Vue/Agular/React3、熟悉HTTP协议了解TCP/IP的基本工作原理熟悉各种Web标准规范4、熟练使用前端常用工具进行开发调试、测试等5、熟悉常用的构建工具、脚手架等6、具有创造力能够在日常工作中持续优化工作流程提升开发效率。岗位福利我们这里有1、【高精尖团队】① 这有集清华北大人大等高精尖专家与你碰撞思维火花② 这是一群有理想、有冲劲的有趣灵魂我们一起干一番事业③ 近距离与行业大咖、公司高层共创交流助你快速成长2、【工作时间】五天7.5小时工作制追求专业高效3、【员工福利】① 入职期间即购买五险一金② 行业内有竞争力的薪酬+灵活高激励的奖金③ 人性化管理公司鼓励员工自我管理、规划工作④ 丰富多彩活动中知365天运动打卡、员工生日聚会、健康和工作两者兼备4、【成长与发展】提供横向及纵向发展通道不定期评估并提供晋升机会专业发展通道及管理发展通道能力决定位置
"
前端开发工程,北京,海淀,"【工作内容】
职位描述1. 负责SaaS产品研发参与相关系统的需求讨论、技术选型、方案设定、实施开发和项目推进2. 负责运营平台、数据平台等中大型企业应用的设计与开发并对现有系统持续优化3.参与前端团队 架构建设和公共组件的设计、研发关注前沿技术动态并运用解决业务痛点4. 参与前端团队工程化体系建设探索和优化开发模式推广流程规范运用技术手段改进终端体验提升业务指标
【任职要求】
职位要求1. 计算机相关专业毕业三年以上工作经验熟悉常见的数据结构、算法扎实的编程能力2. 熟练掌握HTML/JavaScript/CSS各种前端技术深入了解JS/TS及浏览器底层原理熟悉各类WEB标准和规范熟练掌握HTTP协议3. 熟悉现代框架有丰富的React/Vue使用经验, 对其框架和原理有深刻的理解熟悉常用的前端调试工具;4. 热爱技术有强烈的求知欲和进取心能及时关注和学习业界最新技术较好的团队协作和沟通能力积极乐观责任感强有大型企业级应用开发经验优先
"
前端开发岗,北京,朝阳,"【工作内容】
岗位职责负责前端需求分析、系统开发与技术优化对接业务部门保障产品质量与用户体验支撑企业信息化系统高效运行
【任职要求】
岗位要求1.具备5年以上前端开发经验2.具备商业地产购物中心项目开发经验者优先
"
前端开发工程师,广州,越秀,"【工作内容】
【岗位职责】1.1、主导基于飞书生态的前端能力建设与落地熟练运用飞书内嵌H5、交互式卡片Interactive Cards、JS SDK等前端集成能力构建高性能、高可用的用户界面支撑公司 HR 数字化项目如绩效、薪酬、人才评价高效交付2、设计并开发响应式 HTML 报告模板与可视化页面通过 ECharts/Chart.js 实现指标趋势、对比分析等数据呈现支持在线查看、移动端适配及 PDF 渲染导出3、负责前端资产的容器化交付将静态页面、组件库打包为 Docker 可部署单元编写构建脚本与使用文档确保前端资源可被客户IT团队独立维护与升级4、保障前端系统稳定性与安全性实施 XSS/CSRF 防护、动态内容转义、权限边界校验确保在多租户、多角色场景下的数据隔离与交互安全5、推动飞书前端解决方案标准化沉淀通用组件如指标卡、审批流状态、能力雷达图输出《飞书H5开发规范》《卡片交互模板库》提升团队复用效率与交付一致性6、深度参与HR业务需求转化与HR、业务方直接沟通将绩效规则、薪酬结构、能力模型等抽象逻辑转化为直观、易用的前端交互并支持现场演示与问题排查7、协同后端、产品、测试及客户IT团队高效推进从原型设计、联调测试到上线部署的全周期实施确保前后端无缝对接与体验闭环8、支持客户现场工作定期前往东莞客户现场广州本地通勤开展用户培训、前端问题诊断与临时故障响应确保解决方案贴合一线使用场景
【任职要求】
【任职要求】1、统招专科及以上学历计算机、软件工程、信息管理或相关专业2、3年以上前端开发经验必须具备飞书、钉钉或企业微信等协同平台前端集成的实际落地案例如内嵌 H5、交互卡片、OAuth2 登录等需提供演示或说明3、精通HTML/CSS/JavaScript熟练掌握Vue 2/3 或 React任一主流框架能独立完成响应式页面开发与性能优化4、具备前端工程化与交付意识熟悉Vite/Webpack构建流程了解Git协作与基础Linux命令能配合后端完成 Docker 镜像集成与日志排查5、理解企业级前端安全与兼容性要求有处理多端iOS/Android/PC适配、飞书容器样式约束的实战经验6、有人力资源项目经验者强烈优先尤其是绩效管理、薪酬核算、人才盘点等场景的前端可视化与交互设计实践7、具备优秀的产品理解力与客户沟通能力能将业务指标转化为清晰的数据呈现方案接受定期前往东莞客户现场办公广州通勤具备良好的服务意识与问题闭环能力。【您能获得】 1、基本保障常规上班时间周一至周五09:30—12:30,13:30—18:30周末双休公司没有加班文化提倡高效工作享受国家法定假期、加班费补贴或调休入职可买五险一金保障齐全
"
前端开发实习生（出海AI）,上海,徐汇,"【工作内容】
【工作内容】1、参与AIGC项目前端功能模块的设计、开发与迭代优化2、协助完成产品需求的界面实现确保交互体验与视觉还原度3、参与前端技术文档的编写与维护
【任职要求】
【任职要求】1、了解基础算法和数据结构具备?定的编程基础2、熟练掌握HTML/CSS/JavaScript?少掌握React/Vue等?种主流前端框架3、熟悉前端工程化工具了解Webpack/Vite等构建?具的基本使用4、具备一定的UI/UX感知能力能够实现响应式布局和常见交互效果5、对AI技术有学习热情乐于探索前端与AIGC结合的应用场景6、有AIGC相关项目经验或可视化应用开发经验者优先7、本科及以上学历计算机、设计或相关专业海外学习背景加分8、具备良好的沟通能力和团队协作精神积极主动有创新意识9、具备基础英文读写能力者优先。最少一周4天可持续6个月以上
"
前端,广州,海珠,"【工作内容】
前端高级工程师React— 会粤语岗位职责? 负责公司 Web / Mobile Web 前端系统 的设计、开发与维护主要技术栈为 React? 与 产品经理、后端、Mobile App Team 紧密协作参与需求评审、技术方案设计及落地? 负责复杂业务场景的前端架构设计、性能优化及代码质量管控? 编写高质量、可维护、可扩展的前端代码并推动最佳实践? 参与 SIT / UAT / Pre production checking协助问题定位和解决? 指导中初级前端工程师进行 code review 和技术分享
【任职要求】
任职要求? 本科及以上学历计算机相关专业优先? 5 年以上前端开发经验至少 3 年 React 实战经验? 精通 JavaScript / TypeScript / HTML / CSS? 熟悉 React Hooks、Redux / Zustand / Context 等状态管理方案? 熟悉常见前端构建工具Webpack / Vite 等? 具备良好的 系统设计能力和问题分析能力? 有跨团队协作经验沟通能力强? 能使用粤语进行日常工作沟通必须加分项Nice to Have? 有 大型企业系统 / 金融系统 / 高并发项目 经验? 有 React Native / Hybrid App 相关经验? 熟悉 CI/CD、自动化测试? 有前端架构或技术负责人经验语言要求? 粤语流利工作沟通? 普通话良好? 英语读写能力良好者优先
"
前端开发工程师,广州,越秀,"【工作内容】
【岗位职责】1、主导基于飞书生态的前端能力建设与落地熟练运用飞书内嵌H5、交互式卡片Interactive Cards、JS SDK等前端集成能力构建高性能、高可用的用户界面支撑公司 HR 数字化项目如绩效、薪酬、人才评价高效交付2、设计并开发响应式 HTML 报告模板与可视化页面通过 ECharts/Chart.js 实现指标趋势、对比分析等数据呈现支持在线查看、移动端适配及 PDF 渲染导出3、负责前端资产的容器化交付将静态页面、组件库打包为 Docker 可部署单元编写构建脚本与使用文档确保前端资源可被客户IT团队独立维护与升级4、保障前端系统稳定性与安全性实施 XSS/CSRF 防护、动态内容转义、权限边界校验确保在多租户、多角色场景下的数据隔离与交互安全5、推动飞书前端解决方案标准化沉淀通用组件如指标卡、审批流状态、能力雷达图输出《飞书H5开发规范》《卡片交互模板库》提升团队复用效率与交付一致性6、深度参与HR业务需求转化与HR、业务方直接沟通将绩效规则、薪酬结构、能力模型等抽象逻辑转化为直观、易用的前端交互并支持现场演示与问题排查7、协同后端、产品、测试及客户IT团队高效推进从原型设计、联调测试到上线部署的全周期实施确保前后端无缝对接与体验闭环8、支持客户现场工作定期前往东莞客户现场广州本地通勤开展用户培训、前端问题诊断与临时故障响应确保解决方案贴合一线使用场景
【任职要求】
【任职要求】1、统招专科及以上学历计算机、软件工程、信息管理或相关专业2、3年以上前端开发经验必须具备飞书、钉钉或企业微信等协同平台前端集成的实际落地案例如内嵌 H5、交互卡片、OAuth2 登录等需提供演示或说明3、精通HTML/CSS/JavaScript熟练掌握Vue 2/3 或 React任一主流框架能独立完成响应式页面开发与性能优化4、具备前端工程化与交付意识熟悉Vite/Webpack构建流程了解Git协作与基础Linux命令能配合后端完成 Docker 镜像集成与日志排查5、理解企业级前端安全与兼容性要求有处理多端iOS/Android/PC适配、飞书容器样式约束的实战经验6、有人力资源项目经验者强烈优先尤其是绩效管理、薪酬核算、人才盘点等场景的前端可视化与交互设计实践7、具备优秀的产品理解力与客户沟通能力能将业务指标转化为清晰的数据呈现方案接受定期前往东莞客户现场办公广州通勤具备良好的服务意识与问题闭环能力。【您能获得】 1、基本保障常规上班时间周一至周五09:30—12:30,13:30—18:30周末双休公司没有加班文化提倡高效工作享受国家法定假期、加班费补贴或调休入职可买五险一金保障齐全
"
React前端工程师(2026届)(J10428),杭州,拱墅,"【工作内容】
职责描述1参与产品需求、研发设计的相关讨论能快速理解业务需求2参与应用前端技术框架的设计、研发、迭代及维护3协作前端开发人员解决常见的界面、布局、控件、交互等问题 4关注用户体验持续性能优化实现较好的Web加载、执行和渲染优化5能与 UI设计人员、后端开发人员等配合进行有效的沟通
【任职要求】
任职要求1计算机等相关专业本科及以上学历可接受在校实习生和应届毕业生2熟悉互联网前端开发工作流程3熟悉Web标准对MVC、HTML语义化等有较深刻理解4熟悉以JS, CSS 和 HTML 为基础技术的主流框架、库和工具了解其设计思想包括但不限于 React / Vue.JS / AngularJS 生态具有微信小程序开发使用过uniapp的优先5有良好的代码书写规范习惯熟练使用小程序IDE使用过Git代码管理仓库6具备良好的沟通能力、学习能力有良好的团队合作精神和高度的责任感招聘人数1人
"
WEB前端开发（广告）,深圳,南山,"【工作内容】
工作职责1、负责公司广告营销相关站点的着陆页前端代码编写工作依据广告营销策略和设计稿运用 HTML、CSS、JavaScript 等技术构建出符合视觉设计且功能完善的着陆页。例如根据广告活动主题开发具有吸引力的产品展示页面实现如图片轮播、视频播放、交互式表单等元素确保页面在不同浏览器和设备上都能良好显示为用户提供优质的浏览体验从而提高广告的转化率。2、与设计师紧密合作准确理解设计意图将设计图转化为高质量的前端代码同时向设计师反馈技术可行性共同优化页面的视觉效果和用户体验。3、跟踪广告投放效果根据数据反馈及时调整着陆页的布局、内容展示等以更好地适应不同广告渠道和目标受众的需求。4、持续监测广告站点着陆页的性能运用性能分析工具如 Google Lighthouse、WebPageTest 等定期检测页面的加载速度、资源优化情况等关键指标及时发现性能瓶颈
【任职要求】
任职资格1、精通 HTML5、CSS3 和 JavaScript 等前端基础技术能够熟练运用这些技术进行高质量的页面开发对浏览器兼容性有深入的理解能够解决不同浏览器之间的兼容性问题。2、熟悉前端构建工具如 Webpack、Gulp 等的配置和使用能够通过构建工具实现代码的自动化打包、压缩、优化等操作提高开发效率和代码质量。3、具有 2 年及以上 Web 前端开发工作经验有广告营销相关项目开发经验者优先考虑。在以往的工作中能够独立承担前端开发任务完成过具有一定复杂度的页面开发项目具备良好的代码编写习惯和项目管理能力。4、具备基本的数据分析能力能够理解 AB 测试数据和页面性能数据的意义通过数据驱动的方式优化页面设计和性能。熟悉常见的数据分析工具如 Google Analytics、百度统计等的使用能够从数据中提取有价值的信息为广告营销决策提供支持。5、具有良好的沟通能力和团队协作精神能够与设计师、产品经理、后端开发人员等不同角色进行有效的沟通和协作
"
前端架构师(银行网银),南京,建邺,"【工作内容】
一经验技能具有五年及以上前端开发经验能独立承担复杂项目熟练运用 HTML、CSS、JavaScript 构建高性能 web 应用精通业务组件封装及 web 与 H5 应用开发。熟练掌握 Vue、React 等至少一种主流前端框架及其全家桶技术生态深刻理解框架原理确保项目架构、功能与性能达到高水准 。深入熟悉企业网银安全技术包括加密算法、用户认证授权等能防范 XSS、CSRF 等安全风险有企业网银安全防护工具如网银助手开发经验者优先且需熟知安全合规标准保障开发合法合规。具备桌面端开发经验者优先考虑熟悉信创开发环境与技术标准规范更佳。二专业素养秉持严谨规范的编程态度养成良好代码编写风格习惯在接口设计与程序架构规划上具备前瞻性思维和布局能力遵循前端代码开发规范确保代码的可读性、可维护性与可扩展性。三综合能力具备出色沟通交流能力和团队合作精神能与前端团队、后端及其他业务部门紧密协同推进项目顺利进行。思维逻辑清晰敏捷面对复杂技术难题和多样业务需求能快速定位并解决问题确保项目按时保质交付。对前沿技术充满热忱关注最新发展动态主动学习并引入创新理念和方法提升自身技术水平带动团队技术竞争力提升
【任职要求】

"
前端开发工程师,北京,海淀,"【工作内容】
工作职责1. 负责民用级激光雕刻 / 切割 / 焊接设备前端交互层全生命周期开发搭建 Web 端操作平台、设备控制可视化界面加工路径预览、实时参数调节面板、加工进度可视化、故障告警弹窗2. 适配民用多终端使用场景PC 端 / 平板端响应式设计优化非专业用户交互体验拖拽式图形编辑、参数预设模板、图文引导流程、一键操作按钮3. 对接后端 API 与设备通信协议WebSocket/TCP/IP实现前端与云端 / 设备的数据同步加工任务上传、设备状态实时刷新、工艺库下载 解决量产中前端兼容性问题浏览器适配、低网速下数据加载、移动端操作卡顿保障界面响应速度输出前端开发规范
【任职要求】
任职资格1. 本科及以上学历计算机 / 软件工程 / 前端开发相关专业3 年以上民用软件 / 消费级工业软件前端开发经验2. 精通前端技术栈Vue3/React/Angular、HTML5/CSS3、JavaScript/TypeScript熟悉前端工程化工具Webpack/Vite与组件库Element Plus/Ant Design3. 具备可视化开发能力熟练使用 ECharts/Canvas 实现加工路径、功率曲线等数据可视化掌握 WebSocket 实时通信技术4. 了解民用激光设备基础操作逻辑如加工参数调节、任务管理流程能设计适配非专业用户的极简交互有消费级工业设备前端开发经验者优先5. 具备跨端适配能力能兼容主流浏览器Chrome/Edge/ Safari与平板设备解决不同分辨率下的界面适配问题
"
前端开发工程师,广州,越秀,"【工作内容】
职责描述:1.负责H5、PC Web、微信小程序等多端产品的前端开发、技术设计与性能优化与产品经理紧密协作确保高质量交付2.基于 Vue前端框架进行模块化、组件化开发设计和封装高复用、可维护的前端组件与业务模块3.主导或深度参与前端技术方案选型、工程化体系建设如构建、部署、监控与代码质量保障 4.负责对合作供应商或外包团队的前端研发输出进行技术评审、代码管理与质量把控确保技术统一与交付标准5.持续关注前端技术发展通过技术手段提升产品用户体验、开发效率与系统可维护性
【任职要求】
任职要求:1.具备3年以上前端开发经验熟悉Vue2/Vue3、ElementUI、uniapp、ionic、微信小程序具备多端开发与性能优化实战能力2.熟练掌握前端模块化与工程化开发熟悉Webpack、Vite等构建工具具备微前端架构知识或实践经验3.熟悉Java主流开源框架如Spring Boot、Spring Cloud、MyBatis了解微服务、容器化、自动化运维及敏捷研发过程基本原理4.具备良好的沟通协作、分析解决问题能力对技术有热情拥有较强的学习能力和自我驱动力5.具备微前端架构落地经验或有互联网及类金融系统前端项目经验者优先
"
WEB前端开发（可接受25/26届毕业生）,深圳,宝安,"【工作内容】

【任职要求】
任职要求1. 24/25/26届毕业生本科及以上学历计算机相关专业优先实际能力优秀者可放宽学历限制。2. 熟悉 HTML、CSS、JavaScript 基础知识理解语义化、Flexbox、基本布局等前端基础。3. 了解至少一个常用前端框架例如 React / Vue优先VUE并能进行基础组件开发。4. 对 Webpack、Vite 等构建工具有基础了解会使用 npm/yarn/pnpm。5. 具备基本的前后端协作经验能使用 Postman/Apifox 调试接口。6. 有良好的代码习惯愿意学习并遵循团队规范。7. 对新技术保持好奇心具备良好的沟通能力与团队协作意识。加分项可选 有个人项目、GitHub 作品或线上作品链接。 了解 TypeScript 并具备基础使用能力。 了解简单的性能优化思路与调试技巧。 有移动端适配经验如 rem、vw/vh、媒体查询。 对 UI/UX 有一定审美或熟悉常用设计规范。我们能提供 完善的导师制快速提升职业技能。 接触完整业务链路的机会能独立负责小型项目。 轻松开放的团队氛围持续学习的文化环境
"
前端开发,西安,,"【工作内容】
岗位职责负责公司核心产品的前端架构设计与开发确保代码质量和可维护性参与前端工程体系建设包括构建优化、开发效率工具、多环境配置等设计和封装高复用、易扩展的业务组件提升团队开发效率持续优化页面加载性能与渲染性能提升用户体验与产品、设计、后端等多角色协作推动项目高质量落地。技术要求React 技术栈能力必须掌握其中之一① 精通 React Hooks、组件化思想、性能优化② 熟悉 React Router 及嵌套路由、数据加载、动态路由③ 熟练掌握 TanStack Query缓存策略、乐观更新、预请求、分页等④ 熟悉 Zustand、Redux、Jotai 等至少一种状态管理模式Vue 技术栈能力必须掌握其中之一① 熟悉 Vue 2/3更偏向 Vue 3 Composition API② 熟练使用 Vue Router、Pinia③ 理解响应式机制、虚拟 DOM、本地状态管理。工程化能力① 熟练使用 Vite了解插件体系、构建优化、环境变量与多环境配置② 了解 Webpack、Rollup 则加分。样式体系① 熟练掌握 Tailwind CSS / UnoCSS理解原子化 CSS 的好处与适用场景② 解 CSS Modules、SCSS、PostCSS 等更佳。组件设计能力① 能从零实现常用 UI 组件如弹窗、表单组件、上传组件、复杂交互组件② 理解组件 API 设计、可扩展性、可维护性、a11y、容器组件 vs 展示组件等。性能优化意识① 具备页面加载优化、懒加载、代码分割、状态切片、渲染性能优化能力② 有实际线上项目优化经验优先。加分项熟悉 Shadcn UI、Ant Design、Element Plus、Naive UI 等组件库有组件库、工程脚手架、BFF 或微前端相关经验具备大型项目重构、前端规范制定等经历。我们希望你自驱力强、学习能力强具备 35 年前端开发经验计算机或相关专业背景自驱力强对技术有热情能快速定位并解决复杂问题对用户体验敏感具备产品思维和良好的团队沟通能力
【任职要求】

"
